ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,MicroSim Definition,,FOUND
2,MicroSim Uniqueness,1,FOUND
3,Simplicity,1,FOUND
4,Embedding,1|13,FOUND
5,AI Driven,1|45,FOUND
6,Programming Fundamentals,,PROG
7,Variables,6,PROG
8,Control Flow,6|7,PROG
9,Loops,6|8,PROG
10,Functions,6|7|8,PROG
11,Debugging Techniques,6|7|8|9|10,PROG
12,JavaScript Basics,6|7|8|9|10,WEB
13,HTML Fundamentals,6,WEB
14,CSS Basics,13,WEB
15,Web Browser,,WEB
16,Developer Tools,15|12,WEB
17,Text Editor,6,WEB
18,Version Control,6,WEB
19,Git,18,WEB
20,GitHub,19,WEB
21,p5.js Library,12|13,P5JS
22,Canvas Element,21|13,P5JS
23,Coordinate System,22,P5JS
24,Pixels,22|23,P5JS
25,RGB Color Model,22,P5JS
26,setup() Function,21|10,P5JS
27,draw() Function,21|10|26,P5JS
28,Global Variables,7|21,P5JS
29,Local Variables,7|10,P5JS
30,Animation Loop,27|9,P5JS
31,Frame Rate,30,P5JS
32,createCanvas(),26|22,P5JS
33,background(),27|25,P5JS
34,fill(),27|25,P5JS
35,stroke(),27|25,P5JS
36,rect(),27|42,P5JS
37,ellipse(),27|42,P5JS
38,line(),27|42,P5JS
39,text(),27|42,P5JS
40,textSize(),39,P5JS
41,textAlign(),39,P5JS
42,Drawing Primitives,27|23,P5JS
43,Shape Rendering,42|34|35,P5JS
44,Color Theory,25|34|35,P5JS
45,Generative AI,,GENAI
46,Large Language Models,45,GENAI
47,ChatGPT,46,GENAI
48,Claude,46,GENAI
49,AI Prompting,46,GENAI
50,Prompt Engineering,49,GENAI
51,Iterative Refinement,50|52,GENAI
52,AI Code Generation,46|12,GENAI
53,Code Debugging with AI,52|11,GENAI
54,Token Limits,46,GENAI
55,Context Window,46|54,GENAI
56,AI Hallucinations,46,GENAI
57,AI Limitations,46|56,GENAI
58,Educational Simulation,1,FOUND
59,Interactive Learning,58,FOUND
60,Web-Based Simulation,58|13|12,FOUND
61,MicroSim Architecture,1|60,ARCH
62,Drawing Region,61|22,ARCH
63,Control Region,61,ARCH
64,Canvas Width,22|61,ARCH
65,Canvas Height,22|61,ARCH
66,Draw Height,62|65,ARCH
67,Control Height,63|65,ARCH
68,Margin Variable,61|23,ARCH
69,Standard Layout,61|62|63,ARCH
70,Two-Column Layout,69,ARCH
71,Fixed Layout,69,ARCH
72,Responsive Layout,69|123,ARCH
73,Bloom's Taxonomy,,BLOOM
74,Remember Level,73,BLOOM
75,Understand Level,73|74,BLOOM
76,Apply Level,73|75,BLOOM
77,Analyze Level,73|76,BLOOM
78,Evaluate Level,73|77,BLOOM
79,Create Level,73|78,BLOOM
80,Learning Objectives,73,BLOOM
81,Cognitive Levels,73|80,BLOOM
82,Taxonomy Pyramid,73|74|75|76|77|78|79,BLOOM
83,Objective Classification,80|82,BLOOM
84,MicroSim Type Selection,83|1,BLOOM
85,p5.js MicroSim,21|84,TYPES
86,Mermaid.js Diagrams,84|205,TYPES
87,Process Diagrams,86,TYPES
88,Flowcharts,86|208,TYPES
89,Chart.js Library,84|211,TYPES
90,Bar Charts,89|213,TYPES
91,Pie Charts,89|212,TYPES
92,Line Charts,89|214,TYPES
93,Timeline Visualization,84|227,TYPES
94,Geographic Maps,84|224,TYPES
95,Leaflet.js,94|225,TYPES
96,Network Graphs,84|218,TYPES
97,vis-network Library,96|218,TYPES
98,Causal Loop Diagrams,96,TYPES
99,Equation Graphing,84|21,TYPES
100,Specialized MicroSims,84|203,TYPES
101,3D Visualization,100,TYPES
102,Circuit Simulation,100,TYPES
103,Slider Control,63|21,UI
104,Button Control,63|21,UI
105,Start Button,104|119,UI
106,Stop Button,104|119,UI
107,Pause Button,104|119,UI
108,Reset Button,104,UI
109,createSlider(),103|26,UI
110,createButton(),104|26,UI
111,Input Handling,103|104,UI
112,Mouse Events,21|111,UI
113,mousePressed(),112,UI
114,mouseDragged(),112,UI
115,Keyboard Events,21|111,UI
116,keyPressed(),115,UI
117,Event Handlers,112|115,UI
118,User Interaction,111|117,UI
119,isRunning State,28|30,UI
120,Animation Control,119|105|106|107,UI
121,Speed Control,103|31,UI
122,Parameter Adjustment,103|118,UI
123,windowResized(),21|10,RESP
124,updateCanvasSize(),123|64|65,RESP
125,Container Width,124,RESP
126,Relative Positioning,23|125,RESP
127,Responsive Width,72|125,RESP
128,Dynamic Scaling,127|126,RESP
129,push() Function,21|23,RESP
130,pop() Function,129,RESP
131,translate() Function,23|129,RESP
132,Element Grouping,129|130|131,RESP
133,Coordinate Translation,131|23,RESP
134,Dublin Core Metadata,,META
135,Metadata Standards,134,META
136,Title Metadata,135,META
137,Creator Metadata,135,META
138,Subject Metadata,135,META
139,Description Metadata,135,META
140,JSON Schema,135|12,META
141,YAML Frontmatter,135|13,META
142,MicroSim Packaging,61|135,META
143,index.md File,142|141,META
144,main.html File,142|13,META
145,style.css File,142|14,META
146,script.js File,142|12,META
147,data.json File,142|140,META
148,metadata.json File,142|140,META
149,Quality Score,142|150,META
150,100-Point Rubric,142,META
151,MicroSim Validation,149|150,META
152,Cognitive Load Theory,,PED
153,Extraneous Load,152,PED
154,Intrinsic Load,152,PED
155,Germane Load,152,PED
156,Universal Design Learning,152,PED
157,Multiple Representations,156,PED
158,Scaffolding Strategies,152|59,PED
159,Guided Exploration,158,PED
160,Open Exploration,158,PED
161,PRIMM Methodology,59,PED
162,Predict Phase,161,PED
163,Run Phase,161|162,PED
164,Investigate Phase,161|163,PED
165,Modify Phase,161|164,PED
166,Make Phase,161|165,PED
167,Formative Assessment,59|80,PED
168,Quiz Mode,167|85,PED
169,Flash Card MicroSim,74|85,PED
170,Sorter MicroSim,74|85,PED
171,Model Editor,79|85,PED
172,describe() Function,21|173,ACCESS
173,Screen Reader Support,177,ACCESS
174,Color Contrast,44|177,ACCESS
175,Keyboard Navigation,115|177,ACCESS
176,WCAG Guidelines,177,ACCESS
177,Accessible Design,156,ACCESS
178,Rules Files,50|180,GENAI
179,Skills Development,178,GENAI
180,Claude Code,48,GENAI
181,p5.js Editor Preview,21|183,PROF
182,mkdocs serve,13|183,PROF
183,Live Preview,17,PROF
184,iframe Integration,4|13,PROF
185,MkDocs Embedding,184|182,PROF
186,HTML Slide Embedding,184|13,PROF
187,iframe Styling,184|14,PROF
188,Minimal Borders,187,PROF
189,Creative Commons,,PROF
190,Attribution License,189,PROF
191,CC BY-NC-SA,190,PROF
192,Fullscreen Icon,184|187,PROF
193,Copyright Icon,189|184,PROF
194,Collaboration Workflow,20,PROF
195,Peer Review,194,PROF
196,User Testing,59|197,PROF
197,Usability Studies,59,PROF
198,Educational Equity,156,ACCESS
199,Low-Bandwidth Design,198|72,ACCESS
200,Older Device Support,198|72,ACCESS
201,Social Image Preview,142|202,META
202,Open Graph Tags,13|135,META
203,Other MicroSim Libraries,84,TYPES
204,General vs. Specialized,203,TYPES
205,Mermaid,203|206,TYPES
206,Declarative Layout,12,TYPES
207,Infographics,203,TYPES
208,Flowchart,205|87,TYPES
209,Workflow,205|87,TYPES
210,ToolTips,118|39,TYPES
211,ChartJS,203|12,TYPES
